date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:19:55	0/0	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2010%20Apr%202025%2003:19:56%20GMT	https://proactivesky.com/robots.txt		(from )
11:19:56	38769/38769	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Apr%202025%2003:19:57%20GMT	https://proactivesky.com/07969-scientists-use-technology-to-resist-effects-of-climate-change-on-cropsIBCMYCJC478/?ad_id=120220372994410762&adset_id=120220370581890762&campaign_id=120220370581770762&ad_name=ad+3&adset_name=IBCMYCJC478_IBC22_MY_ABO_JIACO_aaf9f6fb-f1d6-4e39-8bcf-27bf3e300126&campaign_name=IBCMYCJC478_IBC22_MY_ABO_JIACO_aaf9f6fb-f1d6-4e39-8bcf-27bf3e300126&source=fb&placement=Facebook_Desktop_Feed&pid=9290510167743921&cpid=aaf9f6fb-f1d6-4e39-8bcf-27bf3e300126&lpid=b2b69862-42e4-4d0b-94fe-7bb3d79c8fca&fbclid=IwY2xjawJcUcZleHRuA2FlbQEwAGFkaWQBqxvK2F2CegEdfRH3xeZqdjYXbQ1-9QOTcHmnC7xmXzvAtk0Bm6zx7Te73U-8tYhCSP4__aem_SVdgFrgWV5Lm0cb4w0nxNw	C:/Users/User/Pictures/Barang%20BOS%20H/SONICAU/SONICAU78%20-%202/proactivesky.com/07969-scientists-use-technology-to-resist-effects-of-climate-change-on-cropsIBCMYCJC478/index686a.html	(from )
11:19:57	58291/58291	---M--	200	added ('OK')	image/png	etag:%2263be4a280a20198e93fdf227ea113273%22	https://proactivesky.com/07969-scientists-use-technology-to-resist-effects-of-climate-change-on-cropsIBCMYCJC478/images/newTapTapMe/TapTapMe.png	C:/Users/User/Pictures/Barang%20BOS%20H/SONICAU/SONICAU78%20-%202/proactivesky.com/07969-scientists-use-technology-to-resist-effects-of-climate-change-on-cropsIBCMYCJC478/images/newTapTapMe/TapTapMe.png	(from https://proactivesky.com/07969-scientists-use-technology-to-resist-effects-of-climate-change-on-cropsIBCMYCJC478/?ad_id=120220372994410762&adset_id=120220370581890762&campaign_id=120220370581770762&ad_name=ad+3&adset_name=IBCMYCJC478_IBC22_MY_ABO_JIACO_aaf9f6fb-f1d6-4e39-8bcf-27bf3e300126&campaign_name=IBCMYCJC478_IBC22_MY_ABO_JIACO_aaf9f6fb-f1d6-4e39-8bcf-27bf3e300126&source=fb&placement=Facebook_Desktop_Feed&pid=9290510167743921&cpid=aaf9f6fb-f1d6-4e39-8bcf-27bf3e300126&lpid=b2b69862-42e4-4d0b-94fe-7bb3d79c8fca&fbclid=IwY2xjawJcUcZleHRuA2FlbQEwAGFkaWQBqxvK2F2CegEdfRH3xeZqdjYXbQ1-9QOTcHmnC7xmXzvAtk0Bm6zx7Te73U-8tYhCSP4__aem_SVdgFrgWV5Lm0cb4w0nxNw)
11:19:57	163885/163885	---MCZ	200	added ('OK')	text/css	etag:W/%22bec8e2bcc17c02ac55462f6c2b28d5ff%22	https://proactivesky.com/07969-scientists-use-technology-to-resist-effects-of-climate-change-on-cropsIBCMYCJC478/css/bootstrap.min9e7a.css?v=1655172052	C:/Users/User/Pictures/Barang%20BOS%20H/SONICAU/SONICAU78%20-%202/proactivesky.com/07969-scientists-use-technology-to-resist-effects-of-climate-change-on-cropsIBCMYCJC478/css/bootstrap.min9e7a9e7a.css	(from https://proactivesky.com/07969-scientists-use-technology-to-resist-effects-of-climate-change-on-cropsIBCMYCJC478/?ad_id=120220372994410762&adset_id=120220370581890762&campaign_id=120220370581770762&ad_name=ad+3&adset_name=IBCMYCJC478_IBC22_MY_ABO_JIACO_aaf9f6fb-f1d6-4e39-8bcf-27bf3e300126&campaign_name=IBCMYCJC478_IBC22_MY_ABO_JIACO_aaf9f6fb-f1d6-4e39-8bcf-27bf3e300126&source=fb&placement=Facebook_Desktop_Feed&pid=9290510167743921&cpid=aaf9f6fb-f1d6-4e39-8bcf-27bf3e300126&lpid=b2b69862-42e4-4d0b-94fe-7bb3d79c8fca&fbclid=IwY2xjawJcUcZleHRuA2FlbQEwAGFkaWQBqxvK2F2CegEdfRH3xeZqdjYXbQ1-9QOTcHmnC7xmXzvAtk0Bm6zx7Te73U-8tYhCSP4__aem_SVdgFrgWV5Lm0cb4w0nxNw)
11:19:58	103009/103009	---M-Z	200	added ('OK')	text/css	etag:%22660cc074-5556%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.5.2/css/all.min.css	C:/Users/User/Pictures/Barang%20BOS%20H/SONICAU/SONICAU78%20-%202/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.5.2/css/all.min.css	(from https://proactivesky.com/07969-scientists-use-technology-to-resist-effects-of-climate-change-on-cropsIBCMYCJC478/?ad_id=120220372994410762&adset_id=120220370581890762&campaign_id=120220370581770762&ad_name=ad+3&adset_name=IBCMYCJC478_IBC22_MY_ABO_JIACO_aaf9f6fb-f1d6-4e39-8bcf-27bf3e300126&campaign_name=IBCMYCJC478_IBC22_MY_ABO_JIACO_aaf9f6fb-f1d6-4e39-8bcf-27bf3e300126&source=fb&placement=Facebook_Desktop_Feed&pid=9290510167743921&cpid=aaf9f6fb-f1d6-4e39-8bcf-27bf3e300126&lpid=b2b69862-42e4-4d0b-94fe-7bb3d79c8fca&fbclid=IwY2xjawJcUcZleHRuA2FlbQEwAGFkaWQBqxvK2F2CegEdfRH3xeZqdjYXbQ1-9QOTcHmnC7xmXzvAtk0Bm6zx7Te73U-8tYhCSP4__aem_SVdgFrgWV5Lm0cb4w0nxNw)
11:19:59	29548/29548	---MCZ	200	added ('OK')	text/css	etag:W/%220248ea84677830e80ad54cc7b4c340da%22	https://proactivesky.com/07969-scientists-use-technology-to-resist-effects-of-climate-change-on-cropsIBCMYCJC478/css/custom5905.css	C:/Users/User/Pictures/Barang%20BOS%20H/SONICAU/SONICAU78%20-%202/proactivesky.com/07969-scientists-use-technology-to-resist-effects-of-climate-change-on-cropsIBCMYCJC478/css/custom5905.css	(from https://proactivesky.com/07969-scientists-use-technology-to-resist-effects-of-climate-change-on-cropsIBCMYCJC478/?ad_id=120220372994410762&adset_id=120220370581890762&campaign_id=120220370581770762&ad_name=ad+3&adset_name=IBCMYCJC478_IBC22_MY_ABO_JIACO_aaf9f6fb-f1d6-4e39-8bcf-27bf3e300126&campaign_name=IBCMYCJC478_IBC22_MY_ABO_JIACO_aaf9f6fb-f1d6-4e39-8bcf-27bf3e300126&source=fb&placement=Facebook_Desktop_Feed&pid=9290510167743921&cpid=aaf9f6fb-f1d6-4e39-8bcf-27bf3e300126&lpid=b2b69862-42e4-4d0b-94fe-7bb3d79c8fca&fbclid=IwY2xjawJcUcZleHRuA2FlbQEwAGFkaWQBqxvK2F2CegEdfRH3xeZqdjYXbQ1-9QOTcHmnC7xmXzvAtk0Bm6zx7Te73U-8tYhCSP4__aem_SVdgFrgWV5Lm0cb4w0nxNw)
11:19:59	601/601	---M-Z	200	added ('OK')	application/javascript	etag:%22259-6283f7acdb267-gzip%22	https://zenacentre.com/backbutton/ibcmyc/rolfix.js	C:/Users/User/Pictures/Barang%20BOS%20H/SONICAU/SONICAU78%20-%202/zenacentre.com/backbutton/ibcmyc/rolfix.js	(from https://proactivesky.com/07969-scientists-use-technology-to-resist-effects-of-climate-change-on-cropsIBCMYCJC478/?ad_id=120220372994410762&adset_id=120220370581890762&campaign_id=120220370581770762&ad_name=ad+3&adset_name=IBCMYCJC478_IBC22_MY_ABO_JIACO_aaf9f6fb-f1d6-4e39-8bcf-27bf3e300126&campaign_name=IBCMYCJC478_IBC22_MY_ABO_JIACO_aaf9f6fb-f1d6-4e39-8bcf-27bf3e300126&source=fb&placement=Facebook_Desktop_Feed&pid=9290510167743921&cpid=aaf9f6fb-f1d6-4e39-8bcf-27bf3e300126&lpid=b2b69862-42e4-4d0b-94fe-7bb3d79c8fca&fbclid=IwY2xjawJcUcZleHRuA2FlbQEwAGFkaWQBqxvK2F2CegEdfRH3xeZqdjYXbQ1-9QOTcHmnC7xmXzvAtk0Bm6zx7Te73U-8tYhCSP4__aem_SVdgFrgWV5Lm0cb4w0nxNw)
11:20:01	289/289	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2010%20Apr%202025%2003:20:02%20GMT	https://celaysimplined.com/d/aaf9f6fb-f1d6-4e39-8bcf-27bf3e300126.js	C:/Users/User/Pictures/Barang%20BOS%20H/SONICAU/SONICAU78%20-%202/celaysimplined.com/d/aaf9f6fb-f1d6-4e39-8bcf-27bf3e300126.5.delayed	(from https://proactivesky.com/07969-scientists-use-technology-to-resist-effects-of-climate-change-on-cropsIBCMYCJC478/?ad_id=120220372994410762&adset_id=120220370581890762&campaign_id=120220370581770762&ad_name=ad+3&adset_name=IBCMYCJC478_IBC22_MY_ABO_JIACO_aaf9f6fb-f1d6-4e39-8bcf-27bf3e300126&campaign_name=IBCMYCJC478_IBC22_MY_ABO_JIACO_aaf9f6fb-f1d6-4e39-8bcf-27bf3e300126&source=fb&placement=Facebook_Desktop_Feed&pid=9290510167743921&cpid=aaf9f6fb-f1d6-4e39-8bcf-27bf3e300126&lpid=b2b69862-42e4-4d0b-94fe-7bb3d79c8fca&fbclid=IwY2xjawJcUcZleHRuA2FlbQEwAGFkaWQBqxvK2F2CegEdfRH3xeZqdjYXbQ1-9QOTcHmnC7xmXzvAtk0Bm6zx7Te73U-8tYhCSP4__aem_SVdgFrgWV5Lm0cb4w0nxNw)
11:20:01	285/285	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2010%20Apr%202025%2003:20:02%20GMT	https://celaysimplined.com/d/aaf9f6fb-f1d6-4e39-8bcf-27bf3e300126.js?noscript=true&lpurl=	C:/Users/User/Pictures/Barang%20BOS%20H/SONICAU/SONICAU78%20-%202/celaysimplined.com/d/aaf9f6fb-f1d6-4e39-8bcf-27bf3e300126d349.js	(from https://proactivesky.com/07969-scientists-use-technology-to-resist-effects-of-climate-change-on-cropsIBCMYCJC478/?ad_id=120220372994410762&adset_id=120220370581890762&campaign_id=120220370581770762&ad_name=ad+3&adset_name=IBCMYCJC478_IBC22_MY_ABO_JIACO_aaf9f6fb-f1d6-4e39-8bcf-27bf3e300126&campaign_name=IBCMYCJC478_IBC22_MY_ABO_JIACO_aaf9f6fb-f1d6-4e39-8bcf-27bf3e300126&source=fb&placement=Facebook_Desktop_Feed&pid=9290510167743921&cpid=aaf9f6fb-f1d6-4e39-8bcf-27bf3e300126&lpid=b2b69862-42e4-4d0b-94fe-7bb3d79c8fca&fbclid=IwY2xjawJcUcZleHRuA2FlbQEwAGFkaWQBqxvK2F2CegEdfRH3xeZqdjYXbQ1-9QOTcHmnC7xmXzvAtk0Bm6zx7Te73U-8tYhCSP4__aem_SVdgFrgWV5Lm0cb4w0nxNw)
11:20:01	18335/18335	---M--	200	added ('OK')	image/png	etag:%22f0560b8cce8e2a9b0b6e5a779bd8ff9e%22	https://proactivesky.com/07969-scientists-use-technology-to-resist-effects-of-climate-change-on-cropsIBCMYCJC478/images/newTapTapMe/jackpot-panel.png	C:/Users/User/Pictures/Barang%20BOS%20H/SONICAU/SONICAU78%20-%202/proactivesky.com/07969-scientists-use-technology-to-resist-effects-of-climate-change-on-cropsIBCMYCJC478/images/newTapTapMe/jackpot-panel.png	(from https://proactivesky.com/07969-scientists-use-technology-to-resist-effects-of-climate-change-on-cropsIBCMYCJC478/?ad_id=120220372994410762&adset_id=120220370581890762&campaign_id=120220370581770762&ad_name=ad+3&adset_name=IBCMYCJC478_IBC22_MY_ABO_JIACO_aaf9f6fb-f1d6-4e39-8bcf-27bf3e300126&campaign_name=IBCMYCJC478_IBC22_MY_ABO_JIACO_aaf9f6fb-f1d6-4e39-8bcf-27bf3e300126&source=fb&placement=Facebook_Desktop_Feed&pid=9290510167743921&cpid=aaf9f6fb-f1d6-4e39-8bcf-27bf3e300126&lpid=b2b69862-42e4-4d0b-94fe-7bb3d79c8fca&fbclid=IwY2xjawJcUcZleHRuA2FlbQEwAGFkaWQBqxvK2F2CegEdfRH3xeZqdjYXbQ1-9QOTcHmnC7xmXzvAtk0Bm6zx7Te73U-8tYhCSP4__aem_SVdgFrgWV5Lm0cb4w0nxNw)
